Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,day,month,year,day_of_week,day_name,is_weekend,season,is_holiday,holiday_name,week_of_year,quarter,day_of_year,is_month_start,is_month_end
2022-03-06,P0001,271,15.62,4233.02,S004,4890,2022-01-31,S004,54.62,28.22,6,3,2022,6,Sunday,1,summer,0,,9,1,65,0,0
2022-03-07,P0001,343,66.57,22833.51,S002,3849,2022-02-06,S002,54.62,24.87,7,3,2022,0,Monday,0,summer,0,,10,1,66,0,0
2022-03-08,P0001,81,27.95,2263.95,S001,4174,2022-01-31,S001,54.62,27.99,8,3,2022,1,Tuesday,0,summer,0,,10,1,67,0,0
2022-03-09,P0001,271,81.01,21953.71,S003,2152,2022-02-01,S003,54.62,37.62,9,3,2022,2,Wednesday,0,summer,0,,10,1,68,0,0
2022-03-10,P0001,83,45.49,3775.67,S002,4110,2022-02-05,S002,54.62,31.58,10,3,2022,3,Thursday,0,summer,0,,10,1,69,0,0
2022-03-11,P0001,147,28.46,4183.62,S001,1850,2022-02-08,S001,54.62,33.44,11,3,2022,4,Friday,0,summer,0,,10,1,70,0,0
2022-03-12,P0001,145,20.39,2956.55,S004,4587,2022-02-04,S004,54.62,23.77,12,3,2022,5,Saturday,1,summer,0,,10,1,71,0,0
2022-04-01,P0001,22,74.16,1631.52,S004,1200,2022-02-01,S004,54.62,27.87,1,4,2022,4,Friday,0,summer,0,,13,2,91,1,0
2022-04-02,P0001,350,41.72,14602.0,S001,4174,2022-01-31,S001,54.62,27.99,2,4,2022,5,Saturday,1,summer,0,,13,2,92,0,0
2022-04-03,P0001,5,62.7,313.5,S001,4312,2022-02-02,S001,54.62,32.37,3,4,2022,6,Sunday,1,summer,0,,13,2,93,0,0
2022-04-04,P0001,67,67.49,4521.83,S005,2903,2022-02-07,S005,54.62,33.22,4,4,2022,0,Monday,0,summer,0,,14,2,94,0,0
2022-04-05,P0001,36,32.68,1176.48,S001,4312,2022-02-02,S001,54.62,32.37,5,4,2022,1,Tuesday,0,summer,0,,14,2,95,0,0
2022-04-06,P0001,271,15.62,4233.02,S004,1200,2022-02-01,S004,54.62,27.87,6,4,2022,2,Wednesday,0,summer,0,,14,2,96,0,0
2022-04-07,P0001,343,66.57,22833.51,S002,3546,2022-02-07,S002,54.62,37.22,7,4,2022,3,Thursday,0,summer,0,,14,2,97,0,0
2022-04-08,P0001,81,27.95,2263.95,S001,3449,2022-02-01,S001,54.62,22.36,8,4,2022,4,Friday,0,summer,0,,14,2,98,0,0
2022-04-09,P0001,271,81.01,21953.71,S003,4302,2022-02-02,S003,54.62,37.26,9,4,2022,5,Saturday,1,summer,0,,14,2,99,0,0
2022-04-10,P0001,83,45.49,3775.67,S002,3849,2022-02-06,S002,54.62,24.87,10,4,2022,6,Sunday,1,summer,0,,14,2,100,0,0
2022-04-11,P0001,147,28.46,4183.62,S001,2568,2022-02-07,S001,54.62,30.58,11,4,2022,0,Monday,0,summer,0,,15,2,101,0,0
2022-04-12,P0001,145,20.39,2956.55,S004,3361,2022-02-05,S004,54.62,33.39,12,4,2022,1,Tuesday,0,summer,0,,15,2,102,0,0
2022-05-01,P0001,22,74.16,1631.52,S004,2257,2022-02-02,S004,54.62,31.93,1,5,2022,6,Sunday,1,summer,0,,17,2,121,1,0
2022-05-02,P0001,114,73.48,8376.72,S003,2082,2022-01-31,S003,54.62,23.85,2,5,2022,0,Monday,0,summer,1,Eid,18,2,122,0,0
2022-05-03,P0001,5,62.7,313.5,S001,2707,2022-02-03,S001,54.62,22.69,3,5,2022,1,Tuesday,0,summer,0,,18,2,123,0,0
2022-05-04,P0001,67,67.49,4521.83,S005,2881,2022-02-08,S005,54.62,25.63,4,5,2022,2,Wednesday,0,summer,0,,18,2,124,0,0
2022-05-05,P0001,36,32.68,1176.48,S001,3449,2022-02-01,S001,54.62,22.36,5,5,2022,3,Thursday,0,summer,0,,18,2,125,0,0
2022-05-06,P0001,271,15.62,4233.02,S004,2257,2022-02-02,S004,54.62,31.93,6,5,2022,4,Friday,0,summer,0,,18,2,126,0,0
2022-05-07,P0001,343,66.57,22833.51,S002,2065,2022-02-08,S002,54.62,35.0,7,5,2022,5,Saturday,1,summer,0,,18,2,127,0,0
2022-05-08,P0001,81,27.95,2263.95,S001,4312,2022-02-02,S001,54.62,32.37,8,5,2022,6,Sunday,1,summer,0,,18,2,128,0,0
2022-05-09,P0001,271,81.01,21953.71,S003,1146,2022-02-03,S003,54.62,29.9,9,5,2022,0,Monday,0,summer,0,,19,2,129,0,0
2022-05-10,P0001,83,45.49,3775.67,S002,3546,2022-02-07,S002,54.62,37.22,10,5,2022,1,Tuesday,0,summer,0,,19,2,130,0,0
2022-05-11,P0001,147,28.46,4183.62,S001,1830,2022-02-06,S001,54.62,24.62,11,5,2022,2,Wednesday,0,summer,0,,19,2,131,0,0
2022-05-12,P0001,145,20.39,2956.55,S004,3388,2022-02-06,S004,54.62,27.68,12,5,2022,3,Thursday,0,summer,0,,19,2,132,0,0
2022-06-01,P0001,22,74.16,1631.52,S004,1262,2022-02-03,S004,54.62,28.21,1,6,2022,2,Wednesday,0,monsoon,0,,22,2,152,1,0
2022-06-02,P0001,114,73.48,8376.72,S003,2152,2022-02-01,S003,54.62,37.62,2,6,2022,3,Thursday,0,monsoon,0,,22,2,153,0,0
2022-06-03,P0001,5,62.7,313.5,S001,3557,2022-02-04,S001,54.62,23.54,3,6,2022,4,Friday,0,monsoon,0,,22,2,154,0,0
2022-06-04,P0001,67,67.49,4521.83,S005,3508,2022-02-09,S005,54.62,27.32,4,6,2022,5,Saturday,1,monsoon,0,,22,2,155,0,0
2022-06-05,P0001,36,32.68,1176.48,S001,4174,2022-01-31,S001,54.62,27.99,5,6,2022,6,Sunday,1,monsoon,0,,22,2,156,0,0
2022-06-06,P0001,271,15.62,4233.02,S004,1262,2022-02-03,S004,54.62,28.21,6,6,2022,0,Monday,0,monsoon,0,,23,2,157,0,0
2022-06-07,P0001,343,66.57,22833.51,S002,2172,2022-02-09,S002,54.62,36.08,7,6,2022,1,Tuesday,0,monsoon,0,,23,2,158,0,0
2022-06-08,P0001,81,27.95,2263.95,S001,2707,2022-02-03,S001,54.62,22.69,8,6,2022,2,Wednesday,0,monsoon,0,,23,2,159,0,0
2022-06-09,P0001,271,81.01,21953.71,S003,3277,2022-02-04,S003,54.62,23.24,9,6,2022,3,Thursday,0,monsoon,0,,23,2,160,0,0
2022-06-10,P0001,83,45.49,3775.67,S002,2065,2022-02-08,S002,54.62,35.0,10,6,2022,4,Friday,0,monsoon,0,,23,2,161,0,0
2022-06-11,P0001,147,28.46,4183.62,S001,1569,2022-02-05,S001,54.62,33.29,11,6,2022,5,Saturday,1,monsoon,0,,23,2,162,0,0
2022-06-12,P0001,145,20.39,2956.55,S004,2008,2022-02-07,S004,54.62,24.33,12,6,2022,6,Sunday,1,monsoon,0,,23,2,163,0,0
2022-07-01,P0001,22,74.16,1631.52,S004,4587,2022-02-04,S004,54.62,23.77,1,7,2022,4,Friday,0,monsoon,0,,26,3,182,1,0
2022-07-02,P0001,114,73.48,8376.72,S003,4302,2022-02-02,S003,54.62,37.26,2,7,2022,5,Saturday,1,monsoon,0,,26,3,183,0,0
2022-07-03,P0001,5,62.7,313.5,S001,1569,2022-02-05,S001,54.62,33.29,3,7,2022,6,Sunday,1,monsoon,0,,26,3,184,0,0
2022-07-04,P0001,341,90.22,30765.02,S002,2172,2022-02-09,S002,54.62,36.08,4,7,2022,0,Monday,0,monsoon,0,,27,3,185,0,0
2022-07-05,P0001,77,70.33,5415.41,S005,2478,2022-01-31,S005,54.62,35.99,5,7,2022,1,Tuesday,0,monsoon,0,,27,3,186,0,0
2022-07-06,P0001,271,15.62,4233.02,S004,4587,2022-02-04,S004,54.62,23.77,6,7,2022,2,Wednesday,0,monsoon,0,,27,3,187,0,0
2022-07-07,P0001,155,78.43,12156.65,S002,2172,2022-02-09,S002,54.62,36.08,7,7,2022,3,Thursday,0,monsoon,0,,27,3,188,0,0
2022-07-08,P0001,81,27.95,2263.95,S001,3557,2022-02-04,S001,54.62,23.54,8,7,2022,4,Friday,0,monsoon,0,,27,3,189,0,0
2022-07-09,P0001,271,81.01,21953.71,S003,1399,2022-02-05,S003,54.62,37.48,9,7,2022,5,Saturday,1,monsoon,0,,27,3,190,0,0
2022-07-10,P0001,83,45.49,3775.67,S002,2172,2022-02-09,S002,54.62,36.08,10,7,2022,6,Sunday,1,monsoon,0,,27,3,191,0,0
2022-07-11,P0001,147,28.46,4183.62,S001,3557,2022-02-04,S001,54.62,23.54,11,7,2022,0,Monday,0,monsoon,0,,28,3,192,0,0
2022-07-12,P0001,145,20.39,2956.55,S004,2856,2022-02-08,S004,54.62,34.56,12,7,2022,1,Tuesday,0,monsoon,0,,28,3,193,0,0
2022-08-01,P0001,22,74.16,1631.52,S004,3361,2022-02-05,S004,54.62,33.39,1,8,2022,0,Monday,0,monsoon,0,,31,3,213,1,0
2022-08-02,P0001,114,73.48,8376.72,S003,1146,2022-02-03,S003,54.62,29.9,2,8,2022,1,Tuesday,0,monsoon,0,,31,3,214,0,0
2022-08-03,P0001,5,62.7,313.5,S001,1830,2022-02-06,S001,54.62,24.62,3,8,2022,2,Wednesday,0,monsoon,0,,31,3,215,0,0
2022-08-04,P0001,341,90.22,30765.02,S002,2065,2022-02-08,S002,54.62,35.0,4,8,2022,3,Thursday,0,monsoon,0,,31,3,216,0,0
2022-08-05,P0001,36,32.68,1176.48,S001,4322,2022-02-10,S001,54.62,24.88,5,8,2022,4,Friday,0,monsoon,0,,31,3,217,0,0
2022-08-06,P0001,271,15.62,4233.02,S004,3361,2022-02-05,S004,54.62,33.39,6,8,2022,5,Saturday,1,monsoon,0,,31,3,218,0,0
2022-08-07,P0001,155,78.43,12156.65,S002,2065,2022-02-08,S002,54.62,35.0,7,8,2022,6,Sunday,1,monsoon,0,,31,3,219,0,0
2022-08-08,P0001,81,27.95,2263.95,S001,1569,2022-02-05,S001,54.62,33.29,8,8,2022,0,Monday,0,monsoon,0,,32,3,220,0,0
2022-08-09,P0001,271,81.01,21953.71,S003,2679,2022-02-06,S003,54.62,22.18,9,8,2022,1,Tuesday,0,monsoon,0,,32,3,221,0,0
2022-08-10,P0001,37,91.05,3368.85,S001,4322,2022-02-10,S001,54.62,24.88,10,8,2022,2,Wednesday,0,monsoon,0,,32,3,222,0,0
2022-08-11,P0001,147,28.46,4183.62,S001,2707,2022-02-03,S001,54.62,22.69,11,8,2022,3,Thursday,0,monsoon,0,,32,3,223,0,0
2022-08-12,P0001,145,20.39,2956.55,S004,3723,2022-02-09,S004,54.62,23.2,12,8,2022,4,Friday,0,monsoon,0,,32,3,224,0,0
2022-09-01,P0001,22,74.16,1631.52,S004,3388,2022-02-06,S004,54.62,27.68,1,9,2022,3,Thursday,0,monsoon,0,,35,3,244,1,0
2022-09-02,P0001,114,73.48,8376.72,S003,3277,2022-02-04,S003,54.62,23.24,2,9,2022,4,Friday,0,monsoon,0,,35,3,245,0,0
2022-09-03,P0001,5,62.7,313.5,S001,2568,2022-02-07,S001,54.62,30.58,3,9,2022,5,Saturday,1,monsoon,0,,35,3,246,0,0
2022-09-04,P0001,341,90.22,30765.02,S002,3546,2022-02-07,S002,54.62,37.22,4,9,2022,6,Sunday,1,monsoon,0,,35,3,247,0,0
2022-09-05,P0001,77,70.33,5415.41,S005,3690,2022-02-01,S005,54.62,27.44,5,9,2022,0,Monday,0,monsoon,0,,36,3,248,0,0
2022-09-06,P0001,271,15.62,4233.02,S004,3388,2022-02-06,S004,54.62,27.68,6,9,2022,1,Tuesday,0,monsoon,0,,36,3,249,0,0
2022-09-07,P0001,155,78.43,12156.65,S002,3546,2022-02-07,S002,54.62,37.22,7,9,2022,2,Wednesday,0,monsoon,0,,36,3,250,0,0
2022-09-08,P0001,81,27.95,2263.95,S001,1830,2022-02-06,S001,54.62,24.62,8,9,2022,3,Thursday,0,monsoon,0,,36,3,251,0,0
2022-09-09,P0001,271,81.01,21953.71,S003,2516,2022-02-07,S003,54.62,29.43,9,9,2022,4,Friday,0,monsoon,0,,36,3,252,0,0
2022-09-10,P0001,37,91.05,3368.85,S001,2996,2022-02-09,S001,54.62,25.25,10,9,2022,5,Saturday,1,monsoon,0,,36,3,253,0,0
2022-09-11,P0001,147,28.46,4183.62,S001,4312,2022-02-02,S001,54.62,32.37,11,9,2022,6,Sunday,1,monsoon,0,,36,3,254,0,0
2022-09-12,P0001,161,56.24,9054.64,S002,2065,2022-02-08,S002,54.62,35.0,12,9,2022,0,Monday,0,monsoon,0,,37,3,255,0,0
2022-10-01,P0001,22,74.16,1631.52,S004,2008,2022-02-07,S004,54.62,24.33,1,10,2022,5,Saturday,1,post_monsoon,0,,39,4,274,1,0
2022-10-02,P0001,114,73.48,8376.72,S003,1399,2022-02-05,S003,54.62,37.48,2,10,2022,6,Sunday,1,post_monsoon,0,,39,4,275,0,0
2022-10-03,P0001,5,62.7,313.5,S001,1850,2022-02-08,S001,54.62,33.44,3,10,2022,0,Monday,0,post_monsoon,0,,40,4,276,0,0
2022-10-04,P0001,341,90.22,30765.02,S002,3849,2022-02-06,S002,54.62,24.87,4,10,2022,1,Tuesday,0,post_monsoon,0,,40,4,277,0,0
2022-10-05,P0001,77,70.33,5415.41,S005,2682,2022-02-03,S005,54.62,23.78,5,10,2022,2,Wednesday,0,post_monsoon,0,,40,4,278,0,0
2022-10-06,P0001,271,15.62,4233.02,S004,2008,2022-02-07,S004,54.62,24.33,6,10,2022,3,Thursday,0,post_monsoon,0,,40,4,279,0,0
2022-10-07,P0001,155,78.43,12156.65,S002,3849,2022-02-06,S002,54.62,24.87,7,10,2022,4,Friday,0,post_monsoon,0,,40,4,280,0,0
2022-10-08,P0001,81,27.95,2263.95,S001,2568,2022-02-07,S001,54.62,30.58,8,10,2022,5,Saturday,1,post_monsoon,0,,40,4,281,0,0
2022-10-09,P0001,271,81.01,21953.71,S003,4324,2022-02-08,S003,54.62,22.06,9,10,2022,6,Sunday,1,post_monsoon,0,,40,4,282,0,0
2022-10-10,P0001,37,91.05,3368.85,S001,1850,2022-02-08,S001,54.62,33.44,10,10,2022,0,Monday,0,post_monsoon,0,,41,4,283,0,0
2022-10-11,P0001,161,56.24,9054.64,S002,3849,2022-02-06,S002,54.62,24.87,11,10,2022,1,Tuesday,0,post_monsoon,0,,41,4,284,0,0
2022-10-12,P0001,96,48.08,4615.68,S002,1815,2022-02-04,S002,54.62,34.82,12,10,2022,2,Wednesday,0,post_monsoon,0,,41,4,285,0,0
2022-11-01,P0001,22,74.16,1631.52,S004,2856,2022-02-08,S004,54.62,34.56,1,11,2022,1,Tuesday,0,post_monsoon,0,,44,4,305,1,0
2022-11-02,P0001,114,73.48,8376.72,S003,2679,2022-02-06,S003,54.62,22.18,2,11,2022,2,Wednesday,0,post_monsoon,0,,44,4,306,0,0
2022-11-03,P0001,5,62.7,313.5,S001,2996,2022-02-09,S001,54.62,25.25,3,11,2022,3,Thursday,0,post_monsoon,0,,44,4,307,0,0
2022-11-04,P0001,341,90.22,30765.02,S002,4110,2022-02-05,S002,54.62,31.58,4,11,2022,4,Friday,0,post_monsoon,0,,44,4,308,0,0
2022-11-05,P0001,77,70.33,5415.41,S005,1301,2022-02-04,S005,54.62,32.16,5,11,2022,5,Saturday,1,post_monsoon,0,,44,4,309,0,0
2022-11-06,P0001,271,15.62,4233.02,S004,2856,2022-02-08,S004,54.62,34.56,6,11,2022,6,Sunday,1,post_monsoon,0,,44,4,310,0,0
2022-11-07,P0001,155,78.43,12156.65,S002,4110,2022-02-05,S002,54.62,31.58,7,11,2022,0,Monday,0,post_monsoon,0,,45,4,311,0,0
2022-11-08,P0001,81,27.95,2263.95,S001,1850,2022-02-08,S001,54.62,33.44,8,11,2022,1,Tuesday,0,post_monsoon,0,,45,4,312,0,0
2022-11-09,P0001,271,81.01,21953.71,S003,2396,2022-02-09,S003,54.62,26.34,9,11,2022,2,Wednesday,0,post_monsoon,0,,45,4,313,0,0
2022-11-10,P0001,37,91.05,3368.85,S001,2568,2022-02-07,S001,54.62,30.58,10,11,2022,3,Thursday,0,post_monsoon,0,,45,4,314,0,0
2022-11-11,P0001,58,77.88,4517.04,S001,2996,2022-02-09,S001,54.62,25.25,11,11,2022,4,Friday,0,post_monsoon,0,,45,4,315,0,0
2022-11-12,P0001,58,77.88,4517.04,S001,1850,2022-02-08,S001,54.62,33.44,12,11,2022,5,Saturday,1,post_monsoon,0,,45,4,316,0,0
2022-12-01,P0001,22,74.16,1631.52,S004,3723,2022-02-09,S004,54.62,23.2,1,12,2022,3,Thursday,0,winter,0,,48,4,335,1,0
2022-12-02,P0001,114,73.48,8376.72,S003,2516,2022-02-07,S003,54.62,29.43,2,12,2022,4,Friday,0,winter,0,,48,4,336,0,0
2022-12-03,P0001,5,62.7,313.5,S001,4322,2022-02-10,S001,54.62,24.88,3,12,2022,5,Saturday,1,winter,0,,48,4,337,0,0
2022-12-04,P0001,341,90.22,30765.02,S002,1815,2022-02-04,S002,54.62,34.82,4,12,2022,6,Sunday,1,winter,0,,48,4,338,0,0
2022-12-05,P0001,77,70.33,5415.41,S005,2219,2022-02-05,S005,54.62,29.37,5,12,2022,0,Monday,0,winter,0,,49,4,339,0,0
2022-12-06,P0001,271,15.62,4233.02,S004,3723,2022-02-09,S004,54.62,23.2,6,12,2022,1,Tuesday,0,winter,0,,49,4,340,0,0
2022-12-07,P0001,155,78.43,12156.65,S002,1815,2022-02-04,S002,54.62,34.82,7,12,2022,2,Wednesday,0,winter,0,,49,4,341,0,0
2022-12-08,P0001,81,27.95,2263.95,S001,2996,2022-02-09,S001,54.62,25.25,8,12,2022,3,Thursday,0,winter,0,,49,4,342,0,0
2022-12-09,P0001,198,57.58,11400.84,S004,3723,2022-02-09,S004,54.62,23.2,9,12,2022,4,Friday,0,winter,0,,49,4,343,0,0
2022-12-10,P0001,198,57.58,11400.84,S004,2856,2022-02-08,S004,54.62,34.56,10,12,2022,5,Saturday,1,winter,0,,49,4,344,0,0
2022-12-11,P0001,161,56.24,9054.64,S002,3546,2022-02-07,S002,54.62,37.22,11,12,2022,6,Sunday,1,winter,0,,49,4,345,0,0
2022-12-12,P0001,58,77.88,4517.04,S001,1830,2022-02-06,S001,54.62,24.62,12,12,2022,0,Monday,0,winter,0,,50,4,346,0,0
2023-01-01,P0001,107,53.99,5776.93,S001,1830,2022-02-06,S001,54.62,24.62,1,1,2023,6,Sunday,1,winter,0,,52,1,1,1,0
2023-01-02,P0001,39,66.68,2600.52,S003,2152,2022-02-01,S003,54.62,37.62,2,1,2023,0,Monday,0,winter,0,,1,1,2,0,0
2023-01-03,P0001,58,77.88,4517.04,S001,4312,2022-02-02,S001,54.62,32.37,3,1,2023,1,Tuesday,0,winter,0,,1,1,3,0,0
2023-01-04,P0001,3,36.3,108.9,S005,2219,2022-02-05,S005,54.62,29.37,4,1,2023,2,Wednesday,0,winter,0,,1,1,4,0,0
2023-01-05,P0001,16,27.53,440.48,S001,1569,2022-02-05,S001,54.62,33.29,5,1,2023,3,Thursday,0,winter,0,,1,1,5,0,0
2023-01-06,P0001,16,27.53,440.48,S001,4174,2022-01-31,S001,54.62,27.99,6,1,2023,4,Friday,0,winter,0,,1,1,6,0,0
2023-02-01,P0001,107,53.99,5776.93,S001,1569,2022-02-05,S001,54.62,33.29,1,2,2023,2,Wednesday,0,winter,0,,5,1,32,1,0
2023-02-02,P0001,39,66.68,2600.52,S003,2082,2022-01-31,S003,54.62,23.85,2,2,2023,3,Thursday,0,winter,0,,5,1,33,0,0
2023-02-03,P0001,58,77.88,4517.04,S001,2707,2022-02-03,S001,54.62,22.69,3,2,2023,4,Friday,0,winter,0,,5,1,34,0,0
2023-02-04,P0001,3,36.3,108.9,S005,2631,2022-02-06,S005,54.62,35.24,4,2,2023,5,Saturday,1,winter,0,,5,1,35,0,0
2023-02-05,P0001,16,27.53,440.48,S001,3557,2022-02-04,S001,54.62,23.54,5,2,2023,6,Sunday,1,winter,0,,5,1,36,0,0
2023-02-06,P0001,23,30.18,694.14,S005,3508,2022-02-09,S005,54.62,27.32,6,2,2023,0,Monday,0,winter,0,,6,1,37,0,0
2023-03-01,P0001,107,53.99,5776.93,S001,3557,2022-02-04,S001,54.62,23.54,1,3,2023,2,Wednesday,0,summer,0,,9,1,60,1,0
2023-03-02,P0001,100,82.88,8288.0,S003,2082,2022-01-31,S003,54.62,23.85,2,3,2023,3,Thursday,0,summer,0,,9,1,61,0,0
2023-03-03,P0001,58,77.88,4517.04,S001,3557,2022-02-04,S001,54.62,23.54,3,3,2023,4,Friday,0,summer,0,,9,1,62,0,0
2023-03-04,P0001,3,36.3,108.9,S005,2881,2022-02-08,S005,54.62,25.63,4,3,2023,5,Saturday,1,summer,0,,9,1,63,0,0
2023-03-05,P0001,16,27.53,440.48,S001,2707,2022-02-03,S001,54.62,22.69,5,3,2023,6,Sunday,1,summer,0,,9,1,64,0,0
2023-03-06,P0001,23,30.18,694.14,S005,2219,2022-02-05,S005,54.62,29.37,6,3,2023,0,Monday,0,summer,0,,10,1,65,0,0
2023-04-01,P0001,107,53.99,5776.93,S001,2707,2022-02-03,S001,54.62,22.69,1,4,2023,5,Saturday,1,summer,0,,13,2,91,1,0
2023-04-02,P0001,66,83.63,5519.58,S004,1200,2022-02-01,S004,54.62,27.87,2,4,2023,6,Sunday,1,summer,0,,13,2,92,0,0
2023-04-03,P0001,58,77.88,4517.04,S001,1569,2022-02-05,S001,54.62,33.29,3,4,2023,0,Monday,0,summer,0,,14,2,93,0,0
2023-04-04,P0001,57,21.01,1197.57,S003,2396,2022-02-09,S003,54.62,26.34,4,4,2023,1,Tuesday,0,summer,0,,14,2,94,0,0
2023-04-05,P0001,104,32.8,3411.2,S002,2685,2022-01-31,S002,54.62,31.87,5,4,2023,2,Wednesday,0,summer,0,,14,2,95,0,0
2023-04-06,P0001,23,30.18,694.14,S005,2881,2022-02-08,S005,54.62,25.63,6,4,2023,3,Thursday,0,summer,0,,14,2,96,0,0
2023-05-01,P0001,66,83.63,5519.58,S004,4890,2022-01-31,S004,54.62,28.22,1,5,2023,0,Monday,0,summer,0,,18,2,121,1,0
2023-05-02,P0001,66,83.63,5519.58,S004,2257,2022-02-02,S004,54.62,31.93,2,5,2023,1,Tuesday,0,summer,0,,18,2,122,0,0
2023-05-03,P0001,101,16.86,1702.86,S004,3723,2022-02-09,S004,54.62,23.2,3,5,2023,2,Wednesday,0,summer,0,,18,2,123,0,0
2023-05-04,P0001,147,28.46,4183.62,S001,4174,2022-01-31,S001,54.62,27.99,4,5,2023,3,Thursday,0,summer,0,,18,2,124,0,0
2023-05-05,P0001,280,20.82,5829.6,S004,4890,2022-01-31,S004,54.62,28.22,5,5,2023,4,Friday,0,summer,0,,18,2,125,0,0
2023-05-06,P0001,23,30.18,694.14,S005,2631,2022-02-06,S005,54.62,35.24,6,5,2023,5,Saturday,1,summer,0,,18,2,126,0,0
