Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,price_elasticity,elasticity_class
2022-01-23,P0001,264,72.31,19089.84,S003,1399,05-02-2022,S003,54.62,37.48,0.03629244968363216,Low Elasticity
2022-01-24,P0001,264,72.31,19089.84,S003,3277,04-02-2022,S003,54.62,23.24,0.03629244968363216,Low Elasticity
2022-01-25,P0001,264,72.31,19089.84,S003,1146,03-02-2022,S003,54.62,29.9,0.03629244968363216,Low Elasticity
2022-01-26,P0001,23,24.71,568.33,S004,4587,04-02-2022,S004,54.62,23.77,0.03629244968363216,Low Elasticity
2022-01-27,P0001,23,24.71,568.33,S004,2856,08-02-2022,S004,54.62,34.56,0.03629244968363216,Low Elasticity
2022-01-28,P0001,23,24.71,568.33,S004,3723,09-02-2022,S004,54.62,23.2,0.03629244968363216,Low Elasticity
2022-01-29,P0001,53,21.2,1123.6,S005,2478,31-01-2022,S005,54.62,35.99,0.03629244968363216,Low Elasticity
2022-01-30,P0001,350,41.72,14602.0,S001,1569,05-02-2022,S001,54.62,33.29,0.03629244968363216,Low Elasticity
2022-01-31,P0001,350,41.72,14602.0,S001,3557,04-02-2022,S001,54.62,23.54,0.03629244968363216,Low Elasticity
2022-02-01,P0001,350,41.72,14602.0,S001,2707,03-02-2022,S001,54.62,22.69,0.03629244968363216,Low Elasticity
2022-02-02,P0001,350,41.72,14602.0,S001,4312,02-02-2022,S001,54.62,32.37,0.03629244968363216,Low Elasticity
2022-02-03,P0001,350,41.72,14602.0,S001,3449,01-02-2022,S001,54.62,22.36,0.03629244968363216,Low Elasticity
2022-02-04,P0001,350,41.72,14602.0,S001,4174,31-01-2022,S001,54.62,27.99,0.03629244968363216,Low Elasticity
2022-02-05,P0001,114,73.48,8376.72,S003,2082,31-01-2022,S003,54.62,23.85,0.03629244968363216,Low Elasticity
2022-02-06,P0001,114,73.48,8376.72,S003,2152,01-02-2022,S003,54.62,37.62,0.03629244968363216,Low Elasticity
2022-02-07,P0001,114,73.48,8376.72,S003,4302,02-02-2022,S003,54.62,37.26,0.03629244968363216,Low Elasticity
2022-02-08,P0001,114,73.48,8376.72,S003,1146,03-02-2022,S003,54.62,29.9,0.03629244968363216,Low Elasticity
2022-02-09,P0001,114,73.48,8376.72,S003,3277,04-02-2022,S003,54.62,23.24,0.03629244968363216,Low Elasticity
2022-02-10,P0001,114,73.48,8376.72,S003,1399,05-02-2022,S003,54.62,37.48,0.03629244968363216,Low Elasticity
2022-02-11,P0001,114,73.48,8376.72,S003,2679,06-02-2022,S003,54.62,22.18,0.03629244968363216,Low Elasticity
2022-02-12,P0001,114,73.48,8376.72,S003,2516,07-02-2022,S003,54.62,29.43,0.03629244968363216,Low Elasticity
2022-02-13,P0001,114,73.48,8376.72,S003,4324,08-02-2022,S003,54.62,22.06,0.03629244968363216,Low Elasticity
2022-02-14,P0001,114,73.48,8376.72,S003,2396,09-02-2022,S003,54.62,26.34,0.03629244968363216,Low Elasticity
2022-02-15,P0001,53,21.2,1123.6,S005,3508,09-02-2022,S005,54.62,27.32,0.03629244968363216,Low Elasticity
2022-02-16,P0001,53,21.2,1123.6,S005,2881,08-02-2022,S005,54.62,25.63,0.03629244968363216,Low Elasticity
2022-02-17,P0001,53,21.2,1123.6,S005,2903,07-02-2022,S005,54.62,33.22,0.03629244968363216,Low Elasticity
2022-02-18,P0001,53,21.2,1123.6,S005,2631,06-02-2022,S005,54.62,35.24,0.03629244968363216,Low Elasticity
2022-02-19,P0001,53,21.2,1123.6,S005,2219,05-02-2022,S005,54.62,29.37,0.03629244968363216,Low Elasticity
2022-02-20,P0001,53,21.2,1123.6,S005,1301,04-02-2022,S005,54.62,32.16,0.03629244968363216,Low Elasticity
2022-02-21,P0001,53,21.2,1123.6,S005,2682,03-02-2022,S005,54.62,23.78,0.03629244968363216,Low Elasticity
2022-02-22,P0001,53,21.2,1123.6,S005,4458,02-02-2022,S005,54.62,36.43,0.03629244968363216,Low Elasticity
2022-02-23,P0001,53,21.2,1123.6,S005,3690,01-02-2022,S005,54.62,27.44,0.03629244968363216,Low Elasticity
2022-02-24,P0001,264,72.31,19089.84,S003,4302,02-02-2022,S003,54.62,37.26,0.03629244968363216,Low Elasticity
2022-02-25,P0001,264,72.31,19089.84,S003,2152,01-02-2022,S003,54.62,37.62,0.03629244968363216,Low Elasticity
2022-02-26,P0001,264,72.31,19089.84,S003,2082,31-01-2022,S003,54.62,23.85,0.03629244968363216,Low Elasticity
2022-02-27,P0001,67,67.49,4521.83,S005,2478,31-01-2022,S005,54.62,35.99,0.03629244968363216,Low Elasticity
2022-02-28,P0001,2,66.3,132.6,S001,3449,01-02-2022,S001,54.62,22.36,0.03629244968363216,Low Elasticity
2022-03-01,P0001,2,66.3,132.6,S001,4174,31-01-2022,S001,54.62,27.99,0.03629244968363216,Low Elasticity
2022-03-02,P0001,5,62.7,313.5,S001,4174,31-01-2022,S001,54.62,27.99,0.03629244968363216,Low Elasticity
2022-03-03,P0001,5,62.7,313.5,S001,3449,01-02-2022,S001,54.62,22.36,0.03629244968363216,Low Elasticity
2022-03-04,P0001,5,62.7,313.5,S001,4312,02-02-2022,S001,54.62,32.37,0.03629244968363216,Low Elasticity
2022-03-05,P0001,5,62.7,313.5,S001,2707,03-02-2022,S001,54.62,22.69,0.03629244968363216,Low Elasticity
2022-03-06,P0001,5,62.7,313.5,S001,3557,04-02-2022,S001,54.62,23.54,0.03629244968363216,Low Elasticity
2022-03-07,P0001,5,62.7,313.5,S001,1569,05-02-2022,S001,54.62,33.29,0.03629244968363216,Low Elasticity
2022-03-08,P0001,5,62.7,313.5,S001,1830,06-02-2022,S001,54.62,24.62,0.03629244968363216,Low Elasticity
2022-03-09,P0001,5,62.7,313.5,S001,2568,07-02-2022,S001,54.62,30.58,0.03629244968363216,Low Elasticity
2022-03-10,P0001,5,62.7,313.5,S001,1850,08-02-2022,S001,54.62,33.44,0.03629244968363216,Low Elasticity
2022-03-11,P0001,5,62.7,313.5,S001,2996,09-02-2022,S001,54.62,25.25,0.03629244968363216,Low Elasticity
2022-03-12,P0001,5,62.7,313.5,S001,4322,10-02-2022,S001,54.62,24.88,0.03629244968363216,Low Elasticity
2022-03-13,P0001,97,41.28,4004.16,S005,3508,09-02-2022,S005,54.62,27.32,0.03629244968363216,Low Elasticity
2022-03-14,P0001,97,41.28,4004.16,S005,2881,08-02-2022,S005,54.62,25.63,0.03629244968363216,Low Elasticity
2022-03-15,P0001,97,41.28,4004.16,S005,2903,07-02-2022,S005,54.62,33.22,0.03629244968363216,Low Elasticity
2022-03-16,P0001,97,41.28,4004.16,S005,2631,06-02-2022,S005,54.62,35.24,0.03629244968363216,Low Elasticity
2022-03-17,P0001,97,41.28,4004.16,S005,2219,05-02-2022,S005,54.62,29.37,0.03629244968363216,Low Elasticity
2022-03-18,P0001,97,41.28,4004.16,S005,1301,04-02-2022,S005,54.62,32.16,0.03629244968363216,Low Elasticity
2022-03-19,P0001,97,41.28,4004.16,S005,2682,03-02-2022,S005,54.62,23.78,0.03629244968363216,Low Elasticity
2022-03-20,P0001,97,41.28,4004.16,S005,4458,02-02-2022,S005,54.62,36.43,0.03629244968363216,Low Elasticity
2022-03-21,P0001,97,41.28,4004.16,S005,3690,01-02-2022,S005,54.62,27.44,0.03629244968363216,Low Elasticity
2022-03-22,P0001,97,41.28,4004.16,S005,2478,31-01-2022,S005,54.62,35.99,0.03629244968363216,Low Elasticity
2022-03-23,P0001,96,48.08,4615.68,S002,2685,31-01-2022,S002,54.62,31.87,0.03629244968363216,Low Elasticity
2022-03-24,P0001,96,48.08,4615.68,S002,4820,01-02-2022,S002,54.62,35.08,0.03629244968363216,Low Elasticity
2022-03-25,P0001,2,66.3,132.6,S001,4312,02-02-2022,S001,54.62,32.37,0.03629244968363216,Low Elasticity
2022-03-26,P0001,350,41.72,14602.0,S001,1830,06-02-2022,S001,54.62,24.62,0.03629244968363216,Low Elasticity
2022-03-27,P0001,2,66.3,132.6,S001,2707,03-02-2022,S001,54.62,22.69,0.03629244968363216,Low Elasticity
2022-03-28,P0001,2,66.3,132.6,S001,1569,05-02-2022,S001,54.62,33.29,0.03629244968363216,Low Elasticity
2022-03-29,P0001,67,67.49,4521.83,S005,3690,01-02-2022,S005,54.62,27.44,0.03629244968363216,Low Elasticity
2022-03-30,P0001,67,67.49,4521.83,S005,4458,02-02-2022,S005,54.62,36.43,0.03629244968363216,Low Elasticity
2022-03-31,P0001,67,67.49,4521.83,S005,2682,03-02-2022,S005,54.62,23.78,0.03629244968363216,Low Elasticity
2022-04-01,P0001,67,67.49,4521.83,S005,1301,04-02-2022,S005,54.62,32.16,0.03629244968363216,Low Elasticity
2022-04-02,P0001,67,67.49,4521.83,S005,2219,05-02-2022,S005,54.62,29.37,0.03629244968363216,Low Elasticity
2022-04-03,P0001,67,67.49,4521.83,S005,2631,06-02-2022,S005,54.62,35.24,0.03629244968363216,Low Elasticity
2022-04-04,P0001,67,67.49,4521.83,S005,2903,07-02-2022,S005,54.62,33.22,0.03629244968363216,Low Elasticity
2022-04-05,P0001,67,67.49,4521.83,S005,2881,08-02-2022,S005,54.62,25.63,0.03629244968363216,Low Elasticity
2022-04-06,P0001,67,67.49,4521.83,S005,3508,09-02-2022,S005,54.62,27.32,0.03629244968363216,Low Elasticity
2022-04-07,P0001,341,90.22,30765.02,S002,2172,09-02-2022,S002,54.62,36.08,0.03629244968363216,Low Elasticity
2022-04-08,P0001,341,90.22,30765.02,S002,2065,08-02-2022,S002,54.62,35.0,0.03629244968363216,Low Elasticity
2022-04-09,P0001,341,90.22,30765.02,S002,3546,07-02-2022,S002,54.62,37.22,0.03629244968363216,Low Elasticity
2022-04-10,P0001,341,90.22,30765.02,S002,3849,06-02-2022,S002,54.62,24.87,0.03629244968363216,Low Elasticity
2022-04-11,P0001,341,90.22,30765.02,S002,4110,05-02-2022,S002,54.62,31.58,0.03629244968363216,Low Elasticity
2022-04-12,P0001,341,90.22,30765.02,S002,1815,04-02-2022,S002,54.62,34.82,0.03629244968363216,Low Elasticity
2022-04-13,P0001,341,90.22,30765.02,S002,2930,03-02-2022,S002,54.62,30.85,0.03629244968363216,Low Elasticity
2022-04-14,P0001,341,90.22,30765.02,S002,2819,02-02-2022,S002,54.62,32.62,0.03629244968363216,Low Elasticity
2022-04-15,P0001,341,90.22,30765.02,S002,4820,01-02-2022,S002,54.62,35.08,0.03629244968363216,Low Elasticity
2022-04-16,P0001,341,90.22,30765.02,S002,2685,31-01-2022,S002,54.62,31.87,0.03629244968363216,Low Elasticity
2022-04-17,P0001,147,28.46,4183.62,S001,3449,01-02-2022,S001,54.62,22.36,0.03629244968363216,Low Elasticity
2022-04-18,P0001,2,66.3,132.6,S001,4322,10-02-2022,S001,54.62,24.88,0.03629244968363216,Low Elasticity
2022-04-19,P0001,2,66.3,132.6,S001,2996,09-02-2022,S001,54.62,25.25,0.03629244968363216,Low Elasticity
2022-04-20,P0001,2,66.3,132.6,S001,1850,08-02-2022,S001,54.62,33.44,0.03629244968363216,Low Elasticity
2022-04-21,P0001,2,66.3,132.6,S001,2568,07-02-2022,S001,54.62,30.58,0.03629244968363216,Low Elasticity
2022-04-22,P0001,2,66.3,132.6,S001,1830,06-02-2022,S001,54.62,24.62,0.03629244968363216,Low Elasticity
2022-04-23,P0001,2,66.3,132.6,S001,3557,04-02-2022,S001,54.62,23.54,0.03629244968363216,Low Elasticity
2022-04-24,P0001,96,48.08,4615.68,S002,2819,02-02-2022,S002,54.62,32.62,0.03629244968363216,Low Elasticity
2022-04-25,P0001,350,41.72,14602.0,S001,2568,07-02-2022,S001,54.62,30.58,0.03629244968363216,Low Elasticity
2022-04-26,P0001,350,41.72,14602.0,S001,2996,09-02-2022,S001,54.62,25.25,0.03629244968363216,Low Elasticity
2022-04-27,P0001,36,32.68,1176.48,S001,2996,09-02-2022,S001,54.62,25.25,0.03629244968363216,Low Elasticity
2022-04-28,P0001,36,32.68,1176.48,S001,1850,08-02-2022,S001,54.62,33.44,0.03629244968363216,Low Elasticity
2022-04-29,P0001,36,32.68,1176.48,S001,2568,07-02-2022,S001,54.62,30.58,0.03629244968363216,Low Elasticity
2022-04-30,P0001,36,32.68,1176.48,S001,1830,06-02-2022,S001,54.62,24.62,0.03629244968363216,Low Elasticity
2022-05-01,P0001,36,32.68,1176.48,S001,1569,05-02-2022,S001,54.62,33.29,0.03629244968363216,Low Elasticity
2022-05-02,P0001,36,32.68,1176.48,S001,3557,04-02-2022,S001,54.62,23.54,0.03629244968363216,Low Elasticity
2022-05-03,P0001,36,32.68,1176.48,S001,2707,03-02-2022,S001,54.62,22.69,0.03629244968363216,Low Elasticity
2022-05-04,P0001,36,32.68,1176.48,S001,4312,02-02-2022,S001,54.62,32.37,0.03629244968363216,Low Elasticity
2022-05-05,P0001,36,32.68,1176.48,S001,3449,01-02-2022,S001,54.62,22.36,0.03629244968363216,Low Elasticity
2022-05-06,P0001,36,32.68,1176.48,S001,4174,31-01-2022,S001,54.62,27.99,0.03629244968363216,Low Elasticity
2022-05-07,P0001,77,70.33,5415.41,S005,2478,31-01-2022,S005,54.62,35.99,0.03629244968363216,Low Elasticity
2022-05-08,P0001,36,32.68,1176.48,S001,4322,10-02-2022,S001,54.62,24.88,0.03629244968363216,Low Elasticity
2022-05-09,P0001,77,70.33,5415.41,S005,3690,01-02-2022,S005,54.62,27.44,0.03629244968363216,Low Elasticity
2022-05-10,P0001,77,70.33,5415.41,S005,2682,03-02-2022,S005,54.62,23.78,0.03629244968363216,Low Elasticity
2022-05-11,P0001,77,70.33,5415.41,S005,1301,04-02-2022,S005,54.62,32.16,0.03629244968363216,Low Elasticity
2022-05-12,P0001,77,70.33,5415.41,S005,2219,05-02-2022,S005,54.62,29.37,0.03629244968363216,Low Elasticity
2022-05-13,P0001,77,70.33,5415.41,S005,2631,06-02-2022,S005,54.62,35.24,0.03629244968363216,Low Elasticity
2022-05-14,P0001,77,70.33,5415.41,S005,2903,07-02-2022,S005,54.62,33.22,0.03629244968363216,Low Elasticity
2022-05-15,P0001,77,70.33,5415.41,S005,2881,08-02-2022,S005,54.62,25.63,0.03629244968363216,Low Elasticity
2022-05-16,P0001,77,70.33,5415.41,S005,3508,09-02-2022,S005,54.62,27.32,0.03629244968363216,Low Elasticity
2022-05-17,P0001,408,89.6,36556.8,S005,3508,09-02-2022,S005,54.62,27.32,0.03629244968363216,Low Elasticity
2022-05-18,P0001,408,89.6,36556.8,S005,2881,08-02-2022,S005,54.62,25.63,0.03629244968363216,Low Elasticity
2022-05-19,P0001,408,89.6,36556.8,S005,2903,07-02-2022,S005,54.62,33.22,0.03629244968363216,Low Elasticity
2022-05-20,P0001,408,89.6,36556.8,S005,2631,06-02-2022,S005,54.62,35.24,0.03629244968363216,Low Elasticity
2022-05-21,P0001,77,70.33,5415.41,S005,4458,02-02-2022,S005,54.62,36.43,0.03629244968363216,Low Elasticity
2022-05-22,P0001,42,31.79,1335.18,S002,2685,31-01-2022,S002,54.62,31.87,0.03629244968363216,Low Elasticity
2022-05-23,P0001,42,31.79,1335.18,S002,4820,01-02-2022,S002,54.62,35.08,0.03629244968363216,Low Elasticity
2022-05-24,P0001,42,31.79,1335.18,S002,2819,02-02-2022,S002,54.62,32.62,0.03629244968363216,Low Elasticity
2022-05-25,P0001,57,21.01,1197.57,S003,2516,07-02-2022,S003,54.62,29.43,0.03629244968363216,Low Elasticity
2022-05-26,P0001,57,21.01,1197.57,S003,2679,06-02-2022,S003,54.62,22.18,0.03629244968363216,Low Elasticity
2022-05-27,P0001,57,21.01,1197.57,S003,1399,05-02-2022,S003,54.62,37.48,0.03629244968363216,Low Elasticity
2022-05-28,P0001,57,21.01,1197.57,S003,3277,04-02-2022,S003,54.62,23.24,0.03629244968363216,Low Elasticity
2022-05-29,P0001,57,21.01,1197.57,S003,1146,03-02-2022,S003,54.62,29.9,0.03629244968363216,Low Elasticity
2022-05-30,P0001,57,21.01,1197.57,S003,4302,02-02-2022,S003,54.62,37.26,0.03629244968363216,Low Elasticity
2022-05-31,P0001,57,21.01,1197.57,S003,2152,01-02-2022,S003,54.62,37.62,0.03629244968363216,Low Elasticity
2022-06-01,P0001,57,21.01,1197.57,S003,2082,31-01-2022,S003,54.62,23.85,0.03629244968363216,Low Elasticity
2022-06-02,P0001,42,31.79,1335.18,S002,2172,09-02-2022,S002,54.62,36.08,0.03629244968363216,Low Elasticity
2022-06-03,P0001,271,15.62,4233.02,S004,4890,31-01-2022,S004,54.62,28.22,0.03629244968363216,Low Elasticity
2022-06-04,P0001,271,15.62,4233.02,S004,1200,01-02-2022,S004,54.62,27.87,0.03629244968363216,Low Elasticity
2022-06-05,P0001,271,15.62,4233.02,S004,2257,02-02-2022,S004,54.62,31.93,0.03629244968363216,Low Elasticity
2022-06-06,P0001,271,15.62,4233.02,S004,1262,03-02-2022,S004,54.62,28.21,0.03629244968363216,Low Elasticity
2022-06-07,P0001,271,15.62,4233.02,S004,4587,04-02-2022,S004,54.62,23.77,0.03629244968363216,Low Elasticity
2022-06-08,P0001,271,15.62,4233.02,S004,3361,05-02-2022,S004,54.62,33.39,0.03629244968363216,Low Elasticity
2022-06-09,P0001,271,15.62,4233.02,S004,3388,06-02-2022,S004,54.62,27.68,0.03629244968363216,Low Elasticity
2022-06-10,P0001,271,15.62,4233.02,S004,2008,07-02-2022,S004,54.62,24.33,0.03629244968363216,Low Elasticity
2022-06-11,P0001,271,15.62,4233.02,S004,2856,08-02-2022,S004,54.62,34.56,0.03629244968363216,Low Elasticity
2022-06-12,P0001,271,15.62,4233.02,S004,3723,09-02-2022,S004,54.62,23.2,0.03629244968363216,Low Elasticity
2022-06-13,P0001,42,31.79,1335.18,S002,2065,08-02-2022,S002,54.62,35.0,0.03629244968363216,Low Elasticity
2022-06-14,P0001,42,31.79,1335.18,S002,3546,07-02-2022,S002,54.62,37.22,0.03629244968363216,Low Elasticity
2022-06-15,P0001,42,31.79,1335.18,S002,3849,06-02-2022,S002,54.62,24.87,0.03629244968363216,Low Elasticity
2022-06-16,P0001,42,31.79,1335.18,S002,4110,05-02-2022,S002,54.62,31.58,0.03629244968363216,Low Elasticity
2022-06-17,P0001,42,31.79,1335.18,S002,1815,04-02-2022,S002,54.62,34.82,0.03629244968363216,Low Elasticity
2022-06-18,P0001,42,31.79,1335.18,S002,2930,03-02-2022,S002,54.62,30.85,0.03629244968363216,Low Elasticity
2022-06-19,P0001,408,89.6,36556.8,S005,2219,05-02-2022,S005,54.62,29.37,0.03629244968363216,Low Elasticity
2022-06-20,P0001,408,89.6,36556.8,S005,1301,04-02-2022,S005,54.62,32.16,0.03629244968363216,Low Elasticity
2022-06-21,P0001,408,89.6,36556.8,S005,2682,03-02-2022,S005,54.62,23.78,0.03629244968363216,Low Elasticity
2022-06-22,P0001,408,89.6,36556.8,S005,4458,02-02-2022,S005,54.62,36.43,0.03629244968363216,Low Elasticity
2022-06-23,P0001,112,84.48,9461.76,S003,1146,03-02-2022,S003,54.62,29.9,0.03629244968363216,Low Elasticity
2022-06-24,P0001,112,84.48,9461.76,S003,4302,02-02-2022,S003,54.62,37.26,0.03629244968363216,Low Elasticity
2022-06-25,P0001,112,84.48,9461.76,S003,2152,01-02-2022,S003,54.62,37.62,0.03629244968363216,Low Elasticity
2022-06-26,P0001,112,84.48,9461.76,S003,2082,31-01-2022,S003,54.62,23.85,0.03629244968363216,Low Elasticity
2022-06-27,P0001,343,66.57,22833.51,S002,2685,31-01-2022,S002,54.62,31.87,0.03629244968363216,Low Elasticity
2022-06-28,P0001,343,66.57,22833.51,S002,4820,01-02-2022,S002,54.62,35.08,0.03629244968363216,Low Elasticity
2022-06-29,P0001,343,66.57,22833.51,S002,2819,02-02-2022,S002,54.62,32.62,0.03629244968363216,Low Elasticity
2022-06-30,P0001,343,66.57,22833.51,S002,2930,03-02-2022,S002,54.62,30.85,0.03629244968363216,Low Elasticity
2022-07-01,P0001,343,66.57,22833.51,S002,1815,04-02-2022,S002,54.62,34.82,0.03629244968363216,Low Elasticity
2022-07-02,P0001,343,66.57,22833.51,S002,4110,05-02-2022,S002,54.62,31.58,0.03629244968363216,Low Elasticity
2022-07-03,P0001,343,66.57,22833.51,S002,3849,06-02-2022,S002,54.62,24.87,0.03629244968363216,Low Elasticity
2022-07-04,P0001,343,66.57,22833.51,S002,3546,07-02-2022,S002,54.62,37.22,0.03629244968363216,Low Elasticity
2022-07-05,P0001,343,66.57,22833.51,S002,2065,08-02-2022,S002,54.62,35.0,0.03629244968363216,Low Elasticity
2022-07-06,P0001,343,66.57,22833.51,S002,2172,09-02-2022,S002,54.62,36.08,0.03629244968363216,Low Elasticity
2022-07-07,P0001,155,78.43,12156.65,S002,2172,09-02-2022,S002,54.62,36.08,0.03629244968363216,Low Elasticity
2022-07-08,P0001,155,78.43,12156.65,S002,2065,08-02-2022,S002,54.62,35.0,0.03629244968363216,Low Elasticity
2022-07-09,P0001,155,78.43,12156.65,S002,3546,07-02-2022,S002,54.62,37.22,0.03629244968363216,Low Elasticity
2022-07-10,P0001,155,78.43,12156.65,S002,3849,06-02-2022,S002,54.62,24.87,0.03629244968363216,Low Elasticity
2022-07-11,P0001,155,78.43,12156.65,S002,4110,05-02-2022,S002,54.62,31.58,0.03629244968363216,Low Elasticity
2022-07-12,P0001,155,78.43,12156.65,S002,1815,04-02-2022,S002,54.62,34.82,0.03629244968363216,Low Elasticity
2022-07-13,P0001,155,78.43,12156.65,S002,2930,03-02-2022,S002,54.62,30.85,0.03629244968363216,Low Elasticity
2022-07-14,P0001,155,78.43,12156.65,S002,2819,02-02-2022,S002,54.62,32.62,0.03629244968363216,Low Elasticity
2022-07-15,P0001,155,78.43,12156.65,S002,4820,01-02-2022,S002,54.62,35.08,0.03629244968363216,Low Elasticity
2022-07-16,P0001,155,78.43,12156.65,S002,2685,31-01-2022,S002,54.62,31.87,0.03629244968363216,Low Elasticity
2022-07-17,P0001,350,41.72,14602.0,S001,4322,10-02-2022,S001,54.62,24.88,0.03629244968363216,Low Elasticity
2022-07-18,P0001,112,84.48,9461.76,S003,3277,04-02-2022,S003,54.62,23.24,0.03629244968363216,Low Elasticity
2022-07-19,P0001,350,41.72,14602.0,S001,1850,08-02-2022,S001,54.62,33.44,0.03629244968363216,Low Elasticity
2022-07-20,P0001,112,84.48,9461.76,S003,1399,05-02-2022,S003,54.62,37.48,0.03629244968363216,Low Elasticity
2022-07-21,P0001,112,84.48,9461.76,S003,2516,07-02-2022,S003,54.62,29.43,0.03629244968363216,Low Elasticity
2022-07-22,P0001,408,89.6,36556.8,S005,3690,01-02-2022,S005,54.62,27.44,0.03629244968363216,Low Elasticity
2022-07-23,P0001,408,89.6,36556.8,S005,2478,31-01-2022,S005,54.62,35.99,0.03629244968363216,Low Elasticity
2022-07-24,P0001,253,80.62,20396.86,S004,3723,09-02-2022,S004,54.62,23.2,0.03629244968363216,Low Elasticity
2022-07-25,P0001,253,80.62,20396.86,S004,2856,08-02-2022,S004,54.62,34.56,0.03629244968363216,Low Elasticity
2022-07-26,P0001,253,80.62,20396.86,S004,2008,07-02-2022,S004,54.62,24.33,0.03629244968363216,Low Elasticity
2022-07-27,P0001,253,80.62,20396.86,S004,3388,06-02-2022,S004,54.62,27.68,0.03629244968363216,Low Elasticity
2022-07-28,P0001,253,80.62,20396.86,S004,3361,05-02-2022,S004,54.62,33.39,0.03629244968363216,Low Elasticity
2022-07-29,P0001,253,80.62,20396.86,S004,4587,04-02-2022,S004,54.62,23.77,0.03629244968363216,Low Elasticity
2022-07-30,P0001,253,80.62,20396.86,S004,1262,03-02-2022,S004,54.62,28.21,0.03629244968363216,Low Elasticity
2022-07-31,P0001,253,80.62,20396.86,S004,2257,02-02-2022,S004,54.62,31.93,0.03629244968363216,Low Elasticity
2022-08-01,P0001,253,80.62,20396.86,S004,1200,01-02-2022,S004,54.62,27.87,0.03629244968363216,Low Elasticity
2022-08-02,P0001,253,80.62,20396.86,S004,4890,31-01-2022,S004,54.62,28.22,0.03629244968363216,Low Elasticity
2022-08-03,P0001,81,27.95,2263.95,S001,4174,31-01-2022,S001,54.62,27.99,0.03629244968363216,Low Elasticity
2022-08-04,P0001,81,27.95,2263.95,S001,3449,01-02-2022,S001,54.62,22.36,0.03629244968363216,Low Elasticity
2022-08-05,P0001,81,27.95,2263.95,S001,4312,02-02-2022,S001,54.62,32.37,0.03629244968363216,Low Elasticity
2022-08-06,P0001,81,27.95,2263.95,S001,2707,03-02-2022,S001,54.62,22.69,0.03629244968363216,Low Elasticity
2022-08-07,P0001,81,27.95,2263.95,S001,3557,04-02-2022,S001,54.62,23.54,0.03629244968363216,Low Elasticity
2022-08-08,P0001,81,27.95,2263.95,S001,1569,05-02-2022,S001,54.62,33.29,0.03629244968363216,Low Elasticity
